Date,Open,High,Low,Close,Volume
7/25/2016 16:00:00,24.56,24.71,24.23,24.34,40382921
7/26/2016 16:00:00,24.21,24.49,24.11,24.17,56239822
7/27/2016 16:00:00,26.07,26.09,25.69,25.74,92344820
7/28/2016 16:00:00,25.71,26.11,25.71,26.09,39869839
7/29/2016 16:00:00,26.05,26.14,25.92,26.05,27733688
8/1/2016 16:00:00,26.1,26.54,26.1,26.51,38167871
8/2/2016 16:00:00,26.51,26.52,26,26.12,33816556
8/3/2016 16:00:00,26.2,26.46,26.19,26.45,30202641
8/4/2016 16:00:00,26.4,26.5,26.32,26.47,27408650
8/5/2016 16:00:00,26.57,26.91,26.55,26.87,40553402
8/8/2016 16:00:00,26.88,27.09,26.79,27.09,28037220
8/9/2016 16:00:00,27.06,27.24,27,27.2,26315204
8/10/2016 16:00:00,27.18,27.23,26.94,27,24008505
8/11/2016 16:00:00,27.13,27.23,26.96,26.98,27484506
8/12/2016 16:00:00,26.95,27.11,26.95,27.05,18660434
8/15/2016 16:00:00,27.04,27.39,27.02,27.37,25868209
8/16/2016 16:00:00,27.41,27.56,27.3,27.35,33794448
8/17/2016 16:00:00,27.28,27.34,27.09,27.31,25355976
8/18/2016 16:00:00,27.31,27.4,27.26,27.27,21984703
8/19/2016 16:00:00,27.19,27.42,27.09,27.34,25368072
8/22/2016 16:00:00,27.22,27.28,26.96,27.13,25820230
8/23/2016 16:00:00,27.15,27.33,27.13,27.21,21257669
8/24/2016 16:00:00,27.14,27.19,26.92,27.01,23675081
8/25/2016 16:00:00,26.85,26.97,26.67,26.89,25086248
8/26/2016 16:00:00,26.85,26.99,26.58,26.74,27766291
8/29/2016 16:00:00,26.66,26.86,26.57,26.71,24970300
8/30/2016 16:00:00,26.45,26.63,26.38,26.5,24863945
8/31/2016 16:00:00,26.42,26.64,26.41,26.53,29662406
9/1/2016 16:00:00,26.54,26.7,26.41,26.68,26701523
9/2/2016 16:00:00,26.93,27,26.71,26.93,26802450
9/6/2016 16:00:00,26.98,27.08,26.88,26.93,26880391
9/7/2016 16:00:00,26.96,27.19,26.77,27.09,42364328
9/8/2016 16:00:00,26.81,26.82,26.31,26.38,53002026
9/9/2016 16:00:00,26.16,26.43,25.78,25.78,46556984
9/12/2016 16:00:00,25.66,26.43,25.63,26.36,45292770
9/13/2016 16:00:00,26.88,27.2,26.81,26.99,62176190
9/14/2016 16:00:00,27.18,28.26,27.15,27.94,112340318
9/15/2016 16:00:00,28.47,28.93,28.37,28.89,90613177
9/16/2016 16:00:00,28.78,29.03,28.51,28.73,79886911
9/19/2016 16:00:00,28.8,29.05,28.31,28.4,47023046
9/20/2016 16:00:00,28.26,28.53,28.13,28.39,34514269
9/21/2016 16:00:00,28.46,28.5,28.11,28.39,36003185
9/22/2016 16:00:00,28.59,28.74,28.5,28.66,31073984
9/23/2016 16:00:00,28.61,28.7,27.89,28.18,52481151
9/26/2016 16:00:00,27.91,28.35,27.89,28.22,29869442
9/27/2016 16:00:00,28.25,28.3,28.09,28.27,24607412
9/28/2016 16:00:00,28.42,28.66,28.36,28.49,29641085
9/29/2016 16:00:00,28.29,28.45,27.95,28.05,35886990
9/30/2016 16:00:00,28.12,28.34,27.95,28.26,36379106
10/3/2016 16:00:00,28.18,28.26,28.07,28.13,21701760
10/4/2016 16:00:00,28.27,28.58,28.16,28.25,29736835
10/5/2016 16:00:00,28.35,28.42,28.17,28.26,21453089
10/6/2016 16:00:00,28.43,28.59,28.28,28.47,28779313
10/7/2016 16:00:00,28.58,28.64,28.38,28.52,24358443
10/10/2016 16:00:00,28.76,29.19,28.68,29.01,36235956
10/11/2016 16:00:00,29.43,29.67,29.05,29.08,64041043
10/12/2016 16:00:00,29.34,29.5,29.19,29.34,37586787
10/13/2016 16:00:00,29.2,29.36,28.93,29.25,35192406
10/14/2016 16:00:00,29.47,29.54,29.28,29.41,35652191
10/17/2016 16:00:00,29.33,29.46,29.2,29.39,23624896
10/18/2016 16:00:00,29.55,29.55,29.36,29.37,24553478
10/19/2016 16:00:00,29.31,29.44,28.45,29.28,20034594
10/20/2016 16:00:00,29.22,29.35,29.08,29.27,24125801
10/21/2016 16:00:00,29.2,29.23,29.07,29.15,23192665
10/24/2016 16:00:00,29.28,29.44,29.25,29.41,23538673
10/25/2016 16:00:00,29.49,29.59,29.33,29.56,48128970
10/26/2016 16:00:00,28.58,28.93,28.33,28.9,66134219
10/27/2016 16:00:00,28.85,28.97,28.53,28.62,34562045
10/28/2016 16:00:00,28.47,28.8,28.36,28.43,37861662
10/31/2016 16:00:00,28.41,28.56,28.3,28.39,26419398
11/1/2016 16:00:00,28.37,28.44,27.63,27.87,43825812
11/2/2016 16:00:00,27.85,28.09,27.81,27.9,28331709
11/3/2016 16:00:00,27.75,27.87,27.39,27.46,26932602
11/4/2016 16:00:00,27.13,27.56,27.03,27.21,30836997
11/7/2016 16:00:00,27.52,27.63,27.37,27.6,32560000
11/8/2016 16:00:00,27.58,27.93,27.43,27.77,24254179
11/9/2016 16:00:00,27.47,27.83,27.01,27.72,59176361
11/10/2016 16:00:00,27.77,27.77,26.46,26.95,57134541
11/11/2016 16:00:00,26.78,27.22,26.64,27.11,34143898
11/14/2016 16:00:00,26.93,26.95,26.02,26.43,51175504
11/15/2016 16:00:00,26.64,26.92,26.54,26.78,32264510
11/16/2016 16:00:00,26.68,27.56,26.65,27.5,58840522
11/17/2016 16:00:00,27.45,27.59,27.21,27.49,27632003
11/18/2016 16:00:00,27.43,27.64,27.42,27.52,28428917
11/21/2016 16:00:00,27.53,28,27.5,27.93,29264571
11/22/2016 16:00:00,27.99,28.11,27.85,27.95,25965534
11/23/2016 16:00:00,27.84,27.88,27.58,27.81,27426394
11/25/2016 16:00:00,27.78,27.97,27.74,27.95,11475922
11/28/2016 16:00:00,27.86,28.12,27.85,27.89,27193983
11/29/2016 16:00:00,27.7,28.01,27.52,27.87,28528750
11/30/2016 16:00:00,27.9,28.05,27.57,27.63,36162258
12/1/2016 16:00:00,27.59,27.74,27.26,27.37,37086862
12/2/2016 16:00:00,27.29,27.52,27.21,27.48,26527997
12/5/2016 16:00:00,27.5,27.51,27.06,27.28,34324540
12/6/2016 16:00:00,27.38,27.59,27.3,27.49,26195462
12/7/2016 16:00:00,27.32,27.8,27.29,27.76,29998719
12/8/2016 16:00:00,27.72,28.11,27.65,28.03,27068316
12/9/2016 16:00:00,28.08,28.68,28.08,28.49,34402627
12/12/2016 16:00:00,28.32,28.75,28.12,28.33,26374377
12/13/2016 16:00:00,28.46,28.98,28.44,28.8,43733811
12/14/2016 16:00:00,28.76,29.05,28.75,28.8,34031834
12/15/2016 16:00:00,28.85,29.18,28.81,28.96,46524544
12/16/2016 16:00:00,29.12,29.13,28.91,28.99,44351134
12/19/2016 16:00:00,28.95,29.35,28.94,29.16,27779423
12/20/2016 16:00:00,29.19,29.38,29.17,29.24,21424965
12/21/2016 16:00:00,29.2,29.35,29.2,29.27,23783165
12/22/2016 16:00:00,29.09,29.13,28.91,29.07,26085854
12/23/2016 16:00:00,28.9,29.13,28.9,29.13,14249484
12/27/2016 16:00:00,29.13,29.45,29.12,29.32,18296855
12/28/2016 16:00:00,29.38,29.5,29.05,29.19,20905892
12/29/2016 16:00:00,29.11,29.28,29.1,29.18,15039519
12/30/2016 16:00:00,29.16,29.3,28.86,28.96,30586265
1/3/2017 16:00:00,28.95,29.08,28.69,29.04,28781865
1/4/2017 16:00:00,28.96,29.13,28.94,29.01,21118116
1/5/2017 16:00:00,28.98,29.22,28.95,29.15,22193587
1/6/2017 16:00:00,29.2,29.54,29.12,29.48,31751900
1/9/2017 16:00:00,29.49,29.86,29.49,29.75,33561948
1/10/2017 16:00:00,29.69,29.85,29.58,29.78,24462051
1/11/2017 16:00:00,29.69,29.98,29.65,29.94,27588593
1/12/2017 16:00:00,29.72,29.83,29.55,29.81,27086220
1/13/2017 16:00:00,29.78,29.91,29.7,29.76,26111948
1/17/2017 16:00:00,29.59,30.06,29.56,30,34439843
1/18/2017 16:00:00,30,30.13,29.93,30,23712961
1/19/2017 16:00:00,29.85,30.02,29.84,29.95,25597291
1/20/2017 16:00:00,30.11,30.11,29.93,30,32597892
1/23/2017 16:00:00,30,30.2,29.94,30.02,22050218
1/24/2017 16:00:00,29.89,30.03,29.88,29.99,23211038
1/25/2017 16:00:00,30.11,30.53,30.07,30.47,32586673
1/26/2017 16:00:00,30.42,30.61,30.4,30.49,26337576
1/27/2017 16:00:00,30.54,30.59,30.4,30.49,20562944
1/30/2017 16:00:00,30.23,30.41,30.17,30.41,30377503
1/31/2017 16:00:00,30.29,30.35,30.16,30.34,49200993
2/1/2017 16:00:00,31.76,32.62,31.75,32.19,111985040
2/2/2017 16:00:00,31.99,32.35,31.95,32.13,33710411
2/3/2017 16:00:00,32.08,32.3,32.04,32.27,24507301
2/6/2017 16:00:00,32.28,32.63,32.23,32.57,26845924
2/7/2017 16:00:00,32.64,33.02,32.61,32.88,38183841
2/8/2017 16:00:00,32.84,33.06,32.81,33.01,23004072
2/9/2017 16:00:00,32.91,33.11,32.78,33.1,28349859
2/10/2017 16:00:00,33.12,33.24,33.01,33.03,20065458
2/13/2017 16:00:00,33.27,33.46,33.19,33.32,23035421
2/14/2017 16:00:00,33.37,33.77,33.31,33.76,33226223
2/15/2017 16:00:00,33.88,34.07,33.66,33.88,35623100
2/16/2017 16:00:00,33.92,33.98,33.71,33.84,22584555
2/17/2017 16:00:00,33.78,33.96,33.78,33.93,22198197
2/21/2017 16:00:00,34.06,34.19,33.99,34.17,24507156
2/22/2017 16:00:00,34.11,34.28,34.03,34.28,20836932
2/23/2017 16:00:00,34.35,34.37,34.08,34.13,20788186
2/24/2017 16:00:00,33.98,34.17,33.82,34.17,21776585
2/27/2017 16:00:00,34.28,34.36,34.07,34.23,20257426
2/28/2017 16:00:00,34.27,34.36,34.17,34.25,23482860
3/1/2017 16:00:00,34.47,35.04,34.4,34.95,36414585
3/2/2017 16:00:00,35,35.07,34.69,34.74,26210984
3/3/2017 16:00:00,34.7,34.96,34.65,34.95,21571121
3/6/2017 16:00:00,34.84,34.94,34.65,34.84,21750044
3/7/2017 16:00:00,34.77,34.99,34.7,34.88,17446297
3/8/2017 16:00:00,34.74,34.95,34.71,34.75,18707236
3/9/2017 16:00:00,34.69,34.7,34.26,34.67,22155904
3/10/2017 16:00:00,34.81,34.84,34.66,34.78,19612801
3/13/2017 16:00:00,34.79,34.86,34.71,34.8,17421717
3/14/2017 16:00:00,34.83,34.91,34.71,34.75,15309065
3/15/2017 16:00:00,34.85,35.19,34.76,35.12,25691774
3/16/2017 16:00:00,35.18,35.26,35.07,35.17,19231998
3/17/2017 16:00:00,35.25,35.25,34.97,35,43884952
3/20/2017 16:00:00,35.1,35.38,35.06,35.37,21542038
3/21/2017 16:00:00,35.53,35.7,34.93,34.96,39529912
3/22/2017 16:00:00,34.96,35.4,34.94,35.35,25860165
3/23/2017 16:00:00,35.32,35.4,35.15,35.23,20346301
3/24/2017 16:00:00,35.38,35.44,35.09,35.16,22395563
3/27/2017 16:00:00,34.85,35.31,34.66,35.22,23575094
3/28/2017 16:00:00,35.23,36.01,35.16,35.95,33374805
3/29/2017 16:00:00,35.92,36.12,35.8,36.03,29189955
3/30/2017 16:00:00,36.05,36.13,35.88,35.98,21207252
3/31/2017 16:00:00,35.93,36.07,35.75,35.92,19661651
4/3/2017 16:00:00,35.93,36.03,35.76,35.92,19985714
4/4/2017 16:00:00,35.81,36.22,35.79,36.19,19891354
4/5/2017 16:00:00,36.06,36.37,35.95,36.01,27717854
4/6/2017 16:00:00,36.07,36.13,35.86,35.92,21149034
4/7/2017 16:00:00,35.93,36.05,35.82,35.84,16672198
4/10/2017 16:00:00,35.9,35.97,35.73,35.79,18933397
4/11/2017 16:00:00,35.74,35.84,35.02,35.41,30379376
4/12/2017 16:00:00,35.4,35.54,35.25,35.45,20350000
4/13/2017 16:00:00,35.48,35.6,35.26,35.26,17822880
4/17/2017 16:00:00,35.37,35.47,35.22,35.46,16582094
4/18/2017 16:00:00,35.35,35.51,35.28,35.3,14697544
4/19/2017 16:00:00,35.47,35.5,35.11,35.17,17328375
4/20/2017 16:00:00,35.31,35.73,35.29,35.61,23319562
4/21/2017 16:00:00,35.61,35.67,35.46,35.57,17320928
4/24/2017 16:00:00,35.88,35.99,35.8,35.91,17134333
4/25/2017 16:00:00,35.98,36.23,35.97,36.13,18871501
4/26/2017 16:00:00,36.12,36.15,35.84,35.92,20041241
4/27/2017 16:00:00,35.98,36.04,35.83,35.95,14246347
4/28/2017 16:00:00,36.02,36.08,35.82,35.91,20860358
5/1/2017 16:00:00,36.28,36.8,36.24,36.65,33602943
5/2/2017 16:00:00,36.89,37.02,36.71,36.88,45352194
5/3/2017 16:00:00,36.4,36.87,36.07,36.77,45697034
5/4/2017 16:00:00,36.63,36.78,36.45,36.63,23371872
5/5/2017 16:00:00,36.69,37.24,36.69,37.24,27327725
5/8/2017 16:00:00,37.26,38.42,37.26,38.25,48752413
5/9/2017 16:00:00,38.47,38.72,38.36,38.5,39130363
5/10/2017 16:00:00,38.41,38.49,38.03,38.32,25805692
5/11/2017 16:00:00,38.11,38.52,38.08,38.49,27255058
5/12/2017 16:00:00,38.67,39.1,38.67,39.03,32527017
5/15/2017 16:00:00,39,39.16,38.76,38.92,26009719
5/16/2017 16:00:00,38.99,39.02,38.68,38.87,20048478
5/17/2017 16:00:00,38.4,38.64,37.43,37.56,50767678
5/18/2017 16:00:00,37.82,38.34,37.78,38.14,33568215
5/19/2017 16:00:00,38.35,38.49,38.16,38.27,26960788
5/22/2017 16:00:00,38.5,38.65,38.23,38.5,22966437
5/23/2017 16:00:00,38.73,38.73,38.33,38.45,19918871
5/24/2017 16:00:00,38.46,38.54,38.17,38.34,19219154
5/25/2017 16:00:00,38.43,38.59,38.26,38.47,19235598
5/26/2017 16:00:00,38.5,38.56,38.33,38.4,21927637
5/30/2017 16:00:00,38.35,38.61,38.33,38.42,20126851
5/31/2017 16:00:00,38.49,38.54,38.1,38.19,24451164
6/1/2017 16:00:00,38.29,38.33,38.06,38.3,16404088
6/2/2017 16:00:00,38.4,38.86,38.22,38.86,27770715
6/5/2017 16:00:00,38.59,38.61,38.37,38.48,25331662
6/6/2017 16:00:00,38.48,38.95,38.45,38.61,26624926
6/7/2017 16:00:00,38.76,38.99,38.62,38.84,21069647
6/8/2017 16:00:00,38.81,38.89,38.6,38.75,21250798
6/9/2017 16:00:00,38.8,38.8,36.51,37.24,64882657
6/12/2017 16:00:00,36.44,36.52,35.63,36.35,72307330
6/13/2017 16:00:00,36.79,36.86,36.29,36.65,34165445
6/14/2017 16:00:00,36.88,36.88,35.96,36.29,31531232
6/15/2017 16:00:00,35.83,36.12,35.55,36.07,32165373
